text_id,fold
0016926B079C,2
0022683E9EA5,0
00299B378633,1
003885A45F42,3
0049B1DF5CCC,3
004AC288D833,2
005661280443,3
008DDDDD8E8D,3
009BCCC61C2A,3
009F4E9310CB,0
00B21F9B726F,0
00BCADB373EF,1
00D281524375,0
00ED2563D0B1,1
011AAA636F11,3
01350DF42AED,0
01405C3C569D,3
01501F95B8B2,1
017802562E71,3
01794F5F1423,2
017D2125A1DE,0
01911AC9674D,2
019BDC9DF7CD,1
01A65BA4080E,0
01B3FDB3FD57,3
01C53183305A,2
0230A077F5B6,2
025722D0AFB7,0
027CB6393714,0
02B07248077F,3
02B36EBD5C66,2
0316F6288791,3
032EA4B76BF5,3
036042533396,2
0369AD4B5726,2
037C88B5B111,0
037ED3EA2982,1
0381BBE47393,1
0383E4A36E46,3
03844422EA75,0
038480498E5A,2
03A3B40D651B,0
03C9E7A15C42,0
03CB73341E0E,1
03CC97D3747E,0
03D00899C901,0
03F7CF142B70,3
0420DDE0BABD,3
0435196871A1,2
043B9F48FDC2,3
04491B61A791,3
0465517EB6B7,1
04659704890C,2
046C6FB91CBA,0
046ECC91332C,2
04788D56AC58,0
047BD3CB80B4,1
0484BCFC725D,2
04ACA7EB3994,2
04B3A4DD9460,1
04B6FD84A066,1
04C2DA8069E7,1
04E1A9EE5BE1,3
04FA62C5F269,0
05021F4CA528,1
0506BAC596A7,1
050BFA60C6AF,3
0514D25768A0,0
051C3A22AEE0,1
053ACB9DFE74,2
053C05D2EE43,1
0546517E6BAA,0
0563F089C239,1
057E81E19740,2
057EE790CCEA,0
05903AA4540F,2
05ACEDBB9CB4,0
05CE0C0C5102,3
05E5653B781C,1
05EC08C05019,3
05F30981F3EB,2
05F54CEC774B,2
0607B495212F,2
061AF57CB05C,2
061D2BBACB45,2
0623DD5A8E8F,1
062AE7A344D3,2
063F809DE304,0
064423D845B1,0
06737289651D,0
06C9FC1267BB,2
06E81109FE92,2
06F368177993,0
06F5F6A09DC6,0
06FA8EF28227,0
070D792C65B7,2
074FA0221628,2
0756FC69B810,2
076262AA0CD5,2
0781753B768E,0
078201045481,0
079FDB42E429,3
07A4DAFDE5B7,0
07C6BB6ADA38,1
07CE77EA56C5,1
07D5647B11AE,3
07DFD9A0986B,1
07E1633CC87A,2
07F3241EB3C6,1
0803CE11A14A,1
083E12F6B1D0,3
084763DC1C8C,3
085C8B43ADD6,0
08683001D359,0
0877E6A813FE,1
08B25090A80C,0
08B72DCFD859,1
08D8232F2D78,0
08FAE6E0BDCC,1
08FC0154E0EF,2
08FC47A564AE,2
092BBD374359,1
0943E322C195,3
094684D6DD30,2
095E153640F7,3
0985602832CD,1
09A801B564F5,1
09ADB0629CD0,0
09EC2F6B0D24,2
0A082DA0A890,2
0A1482CD6163,1
0A324290AFE7,1
0A3964629F69,2
0A4CDC286F8C,2
0A8B8F282E45,2
0AAD73A0AA91,1
0AB62AE1C13F,3
0ABD502C5BF9,1
0AC3C87DC51A,3
0ACB3F8B9DF8,2
0AD69388300B,2
0AF4F757FBEA,2
0AFAD06336F3,1
0AFC8CE27321,2
0AFEC3CC53B5,3
0B00BC4CBABC,2
0B1599B11FCF,2
0B3118834B72,3
0B478E81218B,0
0B6316123881,0
0B720B5EA0E9,2
0B72A4344B3E,3
0B84A2B37B65,2
0B953049AE1E,0
0BB7AF7A448C,0
0BB9FAE6E27B,3
0BDADA3AFF77,3
0BEB8F7F5A64,0
0BF56A2681D3,3
0C1EDBE2EEC3,0
0C28481DFBB8,0
0C30A2A5D998,0
0C699C871AA5,1
0C7D385D812A,3
0C88A0C1602B,1
0C88E7BE611B,2
0C8D699DEE90,1
0C91926E2BC6,2
0CB1237268E3,1
0CCB18D0CAB7,2
0CFDDC1CF75A,3
0D00750E249B,2
0D0CADFF33DF,0
0D23E504FBC0,0
0D382343F3D7,0
0D5DA97CCEAE,0
0D65AF80CDE7,3
0D807ABE1BB3,1
0D8EC8868869,1
0D9288F0A6C9,0
0DB44DDF91E6,0
0DC7DEF31BE5,2
0DF2006FC8F1,3
0E03218FDD2F,0
0E07647BBC59,2
0E14B9D24898,1
0E22A47D358E,0
0E26C20CFBBE,3
0E3C1F059C31,1
0E4FA5AC1EC1,2
0E5C8FE6867B,3
0E6BB199BF93,3
0E9FC972215F,2
0EBED6896F51,1
0EC392C06372,3
0EC7D67618F4,0
0ED9E0B4AC30,0
0EE67777ABB5,0
0EEE49F99224,1
0F19DD8FEEDC,2
0F32DDCBECB6,1
0F3EC382C3CB,2
0F473C4B0103,1
0F563E567370,1
0F634E9B3E9C,3
0F7900292BB6,3
0F7DB6BD1AD5,2
0F8436260047,1
0F84CCFB4982,1
0F8F499BAAB9,1
0F9FDD188673,2
0FD73E4EED03,1
0FF307182628,2
0FFB44B5D0C2,1
101576652D3B,1
101E0C554F66,0
101E64C9DA0E,0
1087B6C7FB98,0
108CA77CBAB4,3
10988CD16BF3,0
109D8D4A91FC,3
10A367BB87EB,2
10AC7944DC4A,0
10BE9BFD7D41,0
10D0BBF44479,2
10D2D1173D36,0
10D3A9E5E79E,1
10D5A47D0859,3
10D60ACB3E5D,2
10DA9316D02D,1
10DF0ACB336C,2
10E11F30F47C,0
10ECA491D66C,0
10F5D7C3719C,3
112AA24D20BC,3
113436EC45E2,1
113B1543C433,0
11402548A471,3
11598C88FBA4,1
1170D6863F27,3
11DD0B26B584,3
11E5C01714C5,0
11E9348F5072,3
1202062A4FA5,1
1204D17C682A,2
120FE0B76D5C,0
1214E4605B0C,0
1247CB034EF7,3
125C1167A84A,0
125CD13D5FA4,2
125E7C6E0D31,1
126555810C31,3
1271A68BDC00,3
1274667FF6E3,2
12796C5A0480,2
128161F8B117,2
12920189F7BB,1
12CA89146E91,1
12E3D52345C6,1
12F2BF34883F,2
12F89E196E97,1
12FE853D6B88,3
1300AD075785,0
130CA439835B,2
13450D581EC9,0
1348668DF845,0
134937CE445C,1
13578C0BCC3C,3
136B3124BE79,3
136F4548CFD0,0
13A94BBE2B24,2
13AB4CC7F80F,0
13C400DD9794,2
13D960FD28CD,1
13E1CB9819CB,3
13FDCF58A955,3
14409A305AB3,2
144671E445D0,1
1451EA314B8A,3
14AC534FFE42,2
14CC79B9F334,1
14D2867090F2,2
14ED79D68BC4,3
14EE006078C4,2
150C42083D49,0
15125AF6CB82,3
1535E922B3AA,2
153C3543E432,3
15847C58ED47,0
1590895B2332,2
1594F1B5DED6,3
15968BD9B40A,2
15AC952FFBC1,0
15B68B826F8D,3
15BD3759DC85,2
15BDA0989B56,0
15D10C4DBA29,2
15F6B5C6229A,1
15FD5B635B50,0
16005A45A20A,1
161779A176BD,3
161E5C8A6719,1
161F2D351A92,0
163A54729CAA,0
163AC455E1DF,1
1649A2246587,0
164D6D056A48,1
168958FC7315,2
168C858F93A3,0
16B45E8AA9F3,3
16B9EB49892E,0
16C3B49CFB43,3
16C794A0F479,0
16DA6810DEF3,2
16DEF72E220A,0
1703E46B4DC9,3
17085E68BA88,2
171E655CC8F1,3
1721F085F81E,3
17230E94E6CF,2
172C8C3F5976,0
172F67E7FBBC,3
1736153EF81F,2
174C4761FEA2,2
1767698C3969,1
17D51D57629D,1
17E1D83B4708,0
17E521D5F29C,2
1829D6D139C2,2
1846CE5F244D,2
1849B89A02D6,2
185E2F7317F2,1
188FE8830590,2
18D47A791678,2
18EA27A2E333,1
18FDAA0BF6A2,1
1928846BB272,1
192D02CF8C9E,0
194E86ED4117,3
196096A1C048,2
196EE083F6D0,3
197F95A99618,0
19864CA2672E,0
198F2ABF2971,3
19D55405175F,1
19DDF17CA4DC,3
1A039B3091BA,0
1A17F32415FD,0
1A2894059051,1
1A2895AB84D7,3
1A3D750157B1,3
1A469EB86263,2
1A56FC79C084,3
1AA55FB101FD,3
1AD12415C4DB,0
1AE2E7D8DFA3,0
1B056DE0E856,0
1B2274161889,2
1B4C8AD95EB5,0
1B622A28EDD9,2
1B7B007D6E1C,1
1B981E7E59C5,3
1BA1FD29BF69,0
1BAD681F72CB,3
1BC40A063549,2
1BD023792E29,3
1BE17E2DA549,1
1BE638E9C951,1
1BEADE7B4160,1
1C0E34879BB0,0
1C17939C40A7,2
1C1E049AB15F,0
1C2665B95694,3
1C31DA60C28D,0
1C65B8D20F73,3
1C911B0C2A2D,1
1CB9668F242D,3
1CC7C3E50765,2
1CE5DBCEF2CE,2
1CF3776F970D,1
1CFAD2A1BC00,0
1CFAD594A087,1
1D1C40F5718C,1
1D2C46F51793,1
1D31AE0453BC,2
1D327ADD95AA,3
1D47271C213D,1
1D75D76AC202,3
1D82FAFE677B,2
1D8BDC81DE2C,3
1D944BF5BE87,0
1DB195AA7BE3,0
1DDA34D8E4D3,1
1DDC2D1DB4EE,3
1DE0E7C48DF0,2
1DFACB5D0C9E,2
1DFAE221EE14,2
1E11EA73C7B3,3
1E176F592611,1
1E2B10DC7A53,2
1E492FE5045A,1
1E4E4216EB39,0
1E6F7CF7470E,1
1E7CF4875ED5,3
1E8ABB190763,0
1EB4D8BFB732,1
1EEA95D39409,1
1F0A461A2589,0
1F217579A773,1
1F28812EE23D,3
1F3620A2965E,1
1F4961D46D29,1
1F50675D8683,0
1F7FD80F4396,1
1F9C0492FB8A,0
1FAC31F5C8DC,0
1FACF7E8D0A7,3
1FB89CF59E5B,2
1FB9B9E08786,1
1FC46D4B9D8C,2
1FE3EE0E16A8,0
2003BF2E6DD0,1
200671752EE0,2
2010889A6522,3
202C217E354A,3
205069BE2E53,2
205D590BCBB1,2
206522E53696,2
2082C42A8F43,3
209A6BC99DB9,2
20A2147B6DB8,3
20A42E81AC2B,3
20AA145EB328,0
20BC5CCE8C64,3
20CF9410DC4A,2
20E194B18D0E,2
20E2B07931F3,1
20FB731C7598,3
2116231D1DC4,0
211699D25472,1
214EC21D1403,1
21535555126A,1
2157AE4AFAA6,2
21737947650E,3
21741500885B,1
2175BC2F7C2C,1
21884C3DC96A,1
219A0A3B6B5D,3
21B100A503DC,1
21EFAE02832D,2
21F8069EC7F7,1
21FB103CCBBF,0
221BA383246D,1
222D14189E1F,1
223FCA37F79D,0
2265CC4410DE,0
227569D39F6D,1
2286BCFF86EB,1
2299FA736E92,3
22BF4720FB84,1
22CFD6C961E3,3
22D02123C65D,0
22E55C32A973,2
22F16C83DE10,1
22F571F54234,1
22FDAB421C71,0
2327EC67A339,0
232A59426B1E,0
234F1BA430B7,2
2358C2CE9966,0
2379CD1725FE,1
23958A3106EA,3
239A72DE1E35,3
23B40A807A4E,1
23D5BA721F52,3
23F0ABEF8370,0
23FC0A3DF4C9,0
24050FFA49AE,2
244973AE9715,3
245B5CD11772,1
24615FD199BE,2
248407B5DBB2,2
24B8DF4DA85A,1
24C508ED6FE2,1
24C654C85C1F,2
24DAF94F0A18,3
24E7F271035B,0
25130AAA9552,2
25248BD3EEC2,2
253108CDC69F,1
2538542762C0,3
253B2D521F14,3
25518B329285,0
25597135F582,2
2567C158F746,0
2568B64DB374,2
257D0126F271,0
2580A540719C,3
25BFA95D04DE,3
25BFEA75C65A,1
25F1B2374A32,2
25FA30699A04,3
2623A90F72B9,0
2637F9BEE7D3,0
263A29FC4FB1,3
263C2C01BC08,1
265FCDBBF0C1,0
2675A97C2B76,1
26788FA4ED04,0
269026CFBEC9,3
269101ABF266,2
26D32FF6313F,2
26E2AD762E9B,3
26EA99485576,3
2716F5E20A4F,2
2723DB12AC00,2
272CA21BAE13,0
277A95AC0190,2
278DE0BFACBF,3
279245CFCCF4,3
27B8304D6E89,2
27D80E5F87B1,0
27E725D251A8,1
27FC2D31B704,3
280F4A13DE2B,1
281AB73DF311,2
2844FD2BF83B,3
28494A144B1A,0
2855CD45984F,1
28639BE05BB7,2
28661F47D728,2
286FE6743E88,1
287BE4F26530,3
28930E0B8820,2
28C8F048A469,0
28FF89DC3B40,0
2909EE180A2A,2
292E635496C4,1
293A93F037A7,3
2940713292A0,2
294C41270CAB,1
296B1DD1E251,2
297ABDDBAA92,3
298969937643,1
29905A8482BC,3
29B364A33B4E,3
29BB45AA907C,0
29BEFF0B3FA0,2
29E1FB4B1D42,0
29FCF6DFFFFC,1
2A18E2265D9E,0
2A2AE5FB899F,0
2A4B5673EBAC,0
2A60299D5D14,0
2A6F8A794455,0
2A7997AE8E72,1
2A96CE614119,0
2A9FC8634742,3
2AAA5F2F5270,3
2AC1514AB3B0,3
2ACDFF7FCAAA,0
2ACFD4F32565,2
2B015051803E,0
2B0888CD4C15,1
2B3CB2A6D7D0,0
2B4AB39B1C76,0
2B621C2F0716,0
2B62F285FD21,0
2B66CE2870AD,2
2B69ADAD868C,3
2B6BA642E4F5,3
2B6FE734CB4E,2
2B9C5C3BB7B9,3
2B9FE67B7465,3
2BA422F3619F,1
2BAF09F7004D,0
2BAFBD6D9755,3
2BE11993FB5F,3
2BE976C99FDF,2
2BFB0A8F50E1,0
2C0F002E8882,0
2C34CE94B837,2
2C38B62420C3,3
2C4DE9FD3734,2
2C58AE2BD566,3
2C681168A674,2
2C76B87A843F,0
2C7750B811F3,3
2C7A6E04F7D0,1
2C8802241F51,2
2C94D8BCF2F9,1
2C9EA803FF3A,2
2CAAF1F40F49,3
2CD73298526F,2
2CDDE76979DD,2
2D0A261453D0,1
2D194F068B93,2
2D3E794C5206,1
2D508127DEF1,3
2D5A9BEEB30D,2
2D63639F997F,0
2D6FA4DEBFD6,1
2D8464A3BD5B,1
2D940E7F240C,0
2DAA07621328,2
2DDFC0DFC442,3
2DE38160D46B,3
2DFC9CC1793A,1
2E043F67934C,0
2E3FC44757FB,0
2E5A3E5FD179,2
2E6495FC2C72,2
2E8A8C550F8D,1
2E8C8C439D36,0
2E98035B8362,1
2EA9DA7AAD2C,0
2EB94A444839,3
2EBC2F60AAE9,3
2EC0647293F6,0
2EEB160A4BD1,0
2EEEE9C5E227,1
2EF984473EC5,0
2F10C8035FEA,0
2F268BE28055,0
2F3210D23414,2
2F3E35DA88B0,2
2F56C4AD3F46,3
2F7B0CE01B4B,1
2F81111E7831,2
2F93B934ED27,1
2FE31DD4FD98,0
3012637E06B5,3
301A4BFAE56A,2
305EFA6DBBBF,1
306796D0279E,3
307D618AF467,0
30A7E68EFC88,1
30B9B18CCCC2,3
30DDC17D2986,3
30FE0B8168BE,1
310CDA45739E,0
3134FDB9DB86,3
3137C16C109D,0
31490B1FA765,0
314E6ED40C6A,1
31B604C7D90F,1
31D67F9A82BA,2
31EEF9A4A29B,2
32380C91070A,2
323F5DADC975,1
325B2F7BB3B1,2
327AAC23CF5D,2
327EB11122D0,1
327F36243259,3
327F4BCC9E4B,2
32A1DC59F4EF,1
32B2D5592E1D,0
32E2949B0C66,0
331103D7D5CF,3
33113B7D1125,3
331760E7A5CB,3
331D60E145C4,1
332F7B4392BA,1
33ADAAB38BFC,1
33AF50FB5ED9,0
33CC5A37AC8C,2
33CCEE3933ED,2
33CFC6838E04,1
33DEFCDAD05F,0
33E25E6A8028,3
33E7F1C7E399,2
33F18D5D8867,3
340BCFE7E249,1
3418CB8125B3,0
34317A7F1262,2
3438C0C5ACEA,0
343A80DD6FB3,2
344D7B1A7E49,1
34553E598A00,3
346D75CE413A,3
346E77F08903,0
34716B652420,2
3498E7E2DAB6,0
349FF2E7D179,3
34A066E69905,3
34AC1808D15A,1
34C829F3DC6A,1
34D76C62269C,2
34E4FB64EEBA,0
34E9C436DECE,0
34F016931102,0
352F0193E251,2
3550660EE2EC,2
3564BBEC4A09,0
3567E4ED2023,1
35954693FE8E,2
35A1342EF397,1
35A7E263AC71,3
35C5C7E2BB5E,2
35CF1B2B1326,0
35D43561EE62,2
35D50C79C5CB,3
35D983476332,1
35E552843ADF,1
36035C063AB3,0
363295DC545F,3
3651697D855B,2
36677FE57D6B,3
367781F47105,3
3691B4714FD5,2
36A5035117B4,0
36A74F4F050A,3
36B2E183713B,2
36BBFBB5EA41,0
36F66596E3B7,3
371739A95793,2
37193A72B5D2,3
3741D275F8BC,1
374CF6E834A5,2
375ABFC3D6F5,0
3766B7A3A5E0,2
37A8D06A04AC,3
37D67E614E05,1
37DD80EFE4D4,0
380164B1BAB5,0
3814F9116CD1,1
3816B67C0B31,0
38203808F81B,0
3821238FE334,2
38452CB371C9,2
386C2A01AD9D,1
387857083AAE,1
389752B5BECF,1
3898358B58BB,3
38AB1DF25E7F,2
38B60A8516C2,1
38CADC812CBA,3
38DF7BD353A9,0
38EE843B5CD1,2
38FA6185D43F,0
3904D0B954A3,0
392BCD798D37,2
39492CE9549E,1
394F5867B7EC,2
395189B8B76B,0
39524C93F4D4,0
39776B3A4C70,1
3991A6F647D3,3
39929B24673E,1
39B3FC0EAE2A,2
39B6454376C8,2
39BB85E5CB5A,3
39E0A362CF29,2
39F27C7223DB,2
39F578D9212E,3
3A2DBB1E0556,3
3A38B9DD6723,1
3A71C888CE45,0
3A94013B23DD,1
3A9630FC8DFA,1
3ACDDFC9DD0C,3
3AD5BFDC11E4,0
3ADC97CB1DB6,0
3AFA78FFFC15,2
3B2DADB10DCA,0
3B355996A407,2
3B6893E9CA71,0
3B81809AA132,3
3B851F58BCDC,0
3B8E36166444,0
3B93AE972238,0
3BD4B53512BD,3
3BDF36560245,3
3BE469553D75,2
3BEF322748A1,0
3BFECA0F8470,0
3C2AFBFEDA6B,2
3C487F5D1994,3
3C56844D4CF0,3
3C693CBFEFB5,0
3C78D0790E7B,2
3CACE02FBD5C,0
3CD660D1E7BB,2
3CDCFB2C7F25,2
3CDD56FF3477,2
3CED6DDF77BE,1
3D29C845934D,0
3D3C80EF2AAA,0
3D4475C949C2,1
3D72844EC5B0,0
3D739817CC30,3
3D8CF58944E1,3
3DAC64829E27,3
3DB503D247B3,1
3DC3405DF531,3
3DC539E4E871,2
3DCF3E6F4A13,0
3DE204C5895E,1
3DFE1FE3FCE8,1
3E156DCB07C7,0
3E170458E9A1,3
3E1A0BAC4372,1
3E4B70F8555C,0
3E500A5390C1,0
3E607F7C98ED,2
3E6C6F1FE64D,0
3E750EB9F5C5,0
3E7DE9C1C160,0
3E9A664FFD33,0
3E9DF0451049,1
3EA2BA9DAB33,2
3EC60741B7BF,2
3EEB66F3630C,2
3EEEF86719CD,0
3F1E511E2E1E,2
3F1ED9A56002,2
3F20E4B1AA0D,0
3F2941C11D95,3
3F30E7FDE6F1,0
3F3DC123EDF6,1
3F4A9ACFEDFB,0
3F4D8262235A,1
3F645E7A81DB,0
3F722ACC887E,1
3F80F96A6F5A,2
3F908BB271AA,2
3FC8F9902F11,2
3FD4C280E4EF,2
3FE7AF072783,0
4000ADB040FE,0
4002D91C6B6C,1
400E5AA27067,0
4025349AD977,0
402843726F3B,2
402CAB074577,1
4032ED0063E4,3
40331978F344,1
40467A05CC2A,3
405CEC6E7F5D,0
40788D50B102,3
408A7D3D2EEC,0
40AA29D2F32B,0
40AF66A621E0,2
40C0290A53F1,2
40DB9B4FC90A,0
40DD3FF566D8,2
40E6BC53EC01,1
410957337087,0
410D72D3CCE8,2
410E1DE75773,0
4148186C6D84,3
41641B53F554,0
41A2385450D9,1
41BB825BAEBB,2
41D5C14587DA,1
41D9E5A1342B,1
41D9F5D10332,0
41DF6D292056,1
41EAC230D430,2
41F8A61B0BB8,1
420269F2DE40,2
421FA3CBFD5C,1
4228BAB7F096,3
423B413192FA,0
424005E31A04,2
4248882EDCCC,1
4256A9A1767F,2
42587039161D,3
4288F88C8D15,1
42AD5E1F4167,0
42BF43BF8DBE,0
42DB5DABA590,2
42F8715D04A3,0
430762044028,3
4351657CEC2F,3
43533F92E05B,3
4353BF70C4A3,3
436450E48EC8,1
437B5914340E,2
43AE9E4D0EFC,1
43B0E1211D58,1
43EE2C3C7EB5,0
441097905601,0
442CFAE61CC3,0
443AA4F38C8B,3
444D784C5791,2
4462E068017D,1
446CE95CF3F2,2
447221C3FA00,2
4477C08B4960,1
44B06B4A6D7E,2
44BD35E3BD1D,0
44C1594D0950,1
44D395C2AD83,0
44D6EEDAE5BD,2
44DCCF637033,1
44E2726DA1B3,0
450A7F9AC54A,1
451321E506A6,0
451A840C382E,2
451E8369BB76,1
45291197F292,2
453ACA22D3B4,0
453F18C3C8BD,1
45697CF2448C,1
457A4416559B,1
4585DE769AE9,2
45A86623B659,1
45DF17CF4937,0
45E5B6DE09E9,1
45E9622CF8F7,3
4608287E9B30,1
462769ABDD5B,2
462832DCD932,2
46302B93EF09,1
46484B622DF0,3
4665A1D77D6C,0
4668B9F74078,0
46977B27324C,1
46AD88A6F157,0
46BB96D9BC9B,0
46D16CB314CD,1
46E550A148DF,3
46EC00DDBCF9,1
46EF1F716C52,1
47006CCC27EC,3
470D092F3831,2
471BD41D6BA9,2
471C6119911D,0
47261D6E0F08,2
473FF163E44A,3
4744A861D13F,1
47470951BBDB,3
474D243CD03A,1
4751F39ECBC5,3
4758405809B3,1
475AAF4D130E,2
477B00F899E2,0
47DD29AF666C,0
4800E073664A,1
480C577BC8C9,2
4810EA26495B,3
48292985CC59,2
483EE18C996B,2
4843C41AAF24,0
4844CF56336D,0
4861FFA6F6CE,3
48837626943D,0
48940AA0656E,3
48AC182E4ADC,3
48ADCBFC8376,3
48BBB107A05C,0
48EA282A4EAF,1
48F7FCAD8B23,1
4906FE42D823,3
49096A420708,3
491FA41A1499,1
495A94390744,1
49605B65EA8D,0
49619EA08A55,1
4967076F4E7F,0
49718724CB84,2
4975FA2ABC9D,1
49C5BCE4CD28,0
49CBF98C0292,1
49D2A80F1484,0
49DA281C7585,0
49E2BDE820BD,1
49E375E8CA7B,0
49F54A35F6F3,3
4A38761A2CBB,0
4A4B45273A9D,0
4A87CFC37238,1
4A8E42EE9569,1
4A9DB943D7D5,3
4AAD1243DE3D,2
4ABC0ED00F91,1
